Tipo de vivienda (principal o no);Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Tamaño del municipio;Total
Vivienda no principal;Total Nacional;08 Castilla - La Mancha;19 Guadalajara;Total (tamaño de municipio);83.468
Vivienda no principal;Total Nacional;08 Castilla - La Mancha;45 Toledo;Total (tamaño de municipio);170.023
Vivienda no principal;Total Nacional;09 Cataluña;;Total (tamaño de municipio);925.770
Vivienda no principal;Total Nacional;09 Cataluña;08 Barcelona;Total (tamaño de municipio);399.220
Vivienda no principal;Total Nacional;09 Cataluña;17 Girona;Total (tamaño de municipio);208.497
Vivienda no principal;Total Nacional;09 Cataluña;25 Lleida;Total (tamaño de municipio);86.318
Vivienda no principal;Total Nacional;09 Cataluña;43 Tarragona;Total (tamaño de municipio);231.735
Vivienda no principal;Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;Total (tamaño de municipio);595.907
Vivienda no principal;Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;Total (tamaño de municipio);208.541
Vivienda no principal;Total Nacional;10 Comunitat Valenciana;46 Valencia/València;Total (tamaño de municipio);458.837
Vivienda no principal;Total Nacional;11 Extremadura;06 Badajoz;Total (tamaño de municipio);132.191
Vivienda no principal;Total Nacional;11 Extremadura;10 Cáceres;Total (tamaño de municipio);131.950
Vivienda no principal;Total Nacional;12 Galicia;15 Coruña, A;Total (tamaño de municipio);233.612
Vivienda no principal;Total Nacional;12 Galicia;27 Lugo;Total (tamaño de municipio);131.512
Vivienda no principal;Total Nacional;12 Galicia;32 Ourense;Total (tamaño de municipio);139.252
Vivienda no principal;Total Nacional;12 Galicia;36 Pontevedra;Total (tamaño de municipio);162.322
Vivienda no principal;Total Nacional;13 Madrid, Comunidad de;;Total (tamaño de municipio);410.452
Vivienda no principal;Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total (tamaño de municipio);410.452
Vivienda no principal;Total Nacional;14 Murcia, Región de;30 Murcia;Total (tamaño de municipio);303.603
Vivienda no principal;Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total (tamaño de municipio);74.774
Vivienda no principal;Total Nacional;16 País Vasco;01 Araba/Álava;Total (tamaño de municipio);27.868
Vivienda no principal;Total Nacional;16 País Vasco;20 Gipuzkoa;Total (tamaño de municipio);51.877
Vivienda no principal;Total Nacional;16 País Vasco;48 Bizkaia;Total (tamaño de municipio);75.828
Vivienda no principal;Total Nacional;17 Rioja, La;26 Rioja, La;Total (tamaño de municipio);79.092
Vivienda no principal;Total Nacional;18 Ceuta;51 Ceuta;Total (tamaño de municipio);2.935
Vivienda no principal;Total Nacional;19 Melilla;52 Melilla;Total (tamaño de municipio);3.813
