PIB y sus componentes;Valor absoluto/porcentaje/índice;Periodo;Total
Producto Interior Bruto directo turístico (PIBDT);Precios corrientes: Porcentaje sobre el PIB;2015;..
Producto Interior Bruto directo turístico (PIBDT);Precios constantes: Índices de volumen encadenados (referencia año 2015 = 100);2022(A);..
Producto Interior Bruto directo turístico (PIBDT);Precios constantes: Índices de volumen encadenados (referencia año 2015 = 100);2021(P);..
Producto Interior Bruto directo turístico (PIBDT);Precios constantes: Índices de volumen encadenados (referencia año 2015 = 100);2020;..
Producto Interior Bruto directo turístico (PIBDT);Precios constantes: Índices de volumen encadenados (referencia año 2015 = 100);2019;..
Producto Interior Bruto directo turístico (PIBDT);Precios constantes: Índices de volumen encadenados (referencia año 2015 = 100);2018;..
Producto Interior Bruto directo turístico (PIBDT);Precios constantes: Índices de volumen encadenados (referencia año 2015 = 100);2017;..
Producto Interior Bruto directo turístico (PIBDT);Precios constantes: Índices de volumen encadenados (referencia año 2015 = 100);2016;..
Producto Interior Bruto directo turístico (PIBDT);Precios constantes: Índices de volumen encadenados (referencia año 2015 = 100);2015;..
Producto interior bruto turístico;Precios corrientes: Millones de euros;2022(A);155.946,0
Producto interior bruto turístico;Precios corrientes: Millones de euros;2021(P);94.127,5
Producto interior bruto turístico;Precios corrientes: Millones de euros;2020;66.868,9
Producto interior bruto turístico;Precios corrientes: Millones de euros;2019;157.355,0
Producto interior bruto turístico;Precios corrientes: Millones de euros;2018;147.074,7
Producto interior bruto turístico;Precios corrientes: Millones de euros;2017;141.053,4
Producto interior bruto turístico;Precios corrientes: Millones de euros;2016;126.304,8
Producto interior bruto turístico;Precios corrientes: Millones de euros;2015;119.185,4
Producto interior bruto turístico;Precios corrientes: Porcentaje sobre el PIB;2022(A);11,6
Producto interior bruto turístico;Precios corrientes: Porcentaje sobre el PIB;2021(P);7,7
Producto interior bruto turístico;Precios corrientes: Porcentaje sobre el PIB;2020;6,0
Producto interior bruto turístico;Precios corrientes: Porcentaje sobre el PIB;2019;12,6
Producto interior bruto turístico;Precios corrientes: Porcentaje sobre el PIB;2018;12,2
Producto interior bruto turístico;Precios corrientes: Porcentaje sobre el PIB;2017;12,1
Producto interior bruto turístico;Precios corrientes: Porcentaje sobre el PIB;2016;11,3
Producto interior bruto turístico;Precios corrientes: Porcentaje sobre el PIB;2015;11,1
Producto interior bruto turístico;Precios constantes: Índices de volumen encadenados (referencia año 2015 = 100);2022(A);117,7
Producto interior bruto turístico;Precios constantes: Índices de volumen encadenados (referencia año 2015 = 100);2021(P);74,2
Producto interior bruto turístico;Precios constantes: Índices de volumen encadenados (referencia año 2015 = 100);2020;54,0
Producto interior bruto turístico;Precios constantes: Índices de volumen encadenados (referencia año 2015 = 100);2019;119,7
Producto interior bruto turístico;Precios constantes: Índices de volumen encadenados (referencia año 2015 = 100);2018;116,2
Producto interior bruto turístico;Precios constantes: Índices de volumen encadenados (referencia año 2015 = 100);2017;114,2
Producto interior bruto turístico;Precios constantes: Índices de volumen encadenados (referencia año 2015 = 100);2016;106,8
Producto interior bruto turístico;Precios constantes: Índices de volumen encadenados (referencia año 2015 = 100);2015;100,0
